동영상 제목,게시일,영상 좋아요 수,댓글,작성자,댓글 작성일,댓글 좋아요 수
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"심씨하고
똑같다",jung geun kim,2023-10-09T14:28:44Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당에 남은 채무감이 없다!,JK,2023-10-09T10:21:53Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"맞다
범죄혐의자가 공천한 후보도 사퇴해야 한다",권묵 윤,2023-10-09T08:59:54Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"정의당도 정신차려야 한다.
심상정 부터 교채해라",김기원,2023-10-09T05:15:52Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,빨갱이년입으루똥싸구있네,michael park,2023-10-09T03:44:20Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"김태우가 범죄자면,
이재명은 조폭두목 
범죄자네.",업 허,2023-10-09T00:16:41Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,사라져야할  국짐2중대  정의당..,seongwoo,2023-10-08T18:30:48Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당은 야당이잖아요 야당답게 싸워라,다구,2023-10-08T14:05:15Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,이재명은?,재성 신,2023-10-08T09:43:53Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,에이고.수정아!시집이나제대로간거냐?,Yeye,2023-10-08T06:37:06Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,맛습니다 범죄자을 감옥사는놈을 빼내서 다시그자리 앉혀놓고 뭐어쩌자고 4십억은 누구개이름이냐 해도해도 넘한다 나라을 범죄자들만체우고 조작과사기 범조자들 검건희는 수사 안하니특검해서 탄핵하고 감옥으로,김정심,2023-10-07T23:30:34Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당이나 국짐이나 다를바 없음,MrKimdongsin,2023-10-07T23:04:39Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당은 아웃,MrKimdongsin,2023-10-07T23:03:55Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,당 바꾸시면 찍어 줄께요,나덕현,2023-10-07T16:11:12Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당 싫어,장영,2023-10-07T15:52:17Z,1
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,국민의정의당 아닌가?ㅋㅋ제2의국짐당,j s,2023-10-07T15:37:46Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,김건희 특검 반대한 국짐2중대,강가에서 릴레이,2023-10-07T15:36:58Z,1
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"정의없당이 무슨 김태우를 욕할 자격이 있나?
그 나물에 그 밥이지",할배검객,2023-10-07T15:05:09Z,1
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,민주당이 너무 앞서가니 누구지시받고 나온거같은데? 강한의심이든다.,김영석,2023-10-07T14:46:46Z,1
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,조동이만 살았찌 정의당,왕국의 계란,2023-10-07T13:10:23Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,열시미 노력해서 국힘 가려는거 아니지?,서미르,2023-10-07T11:56:42Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"만든 장본인 너희 정치인 쓰레기다
2007년에 한나라당 과 민주당이 합의하에 만드거다",용식 박,2023-10-06T11:31:53Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,비정규직,용식 박,2023-10-06T11:29:05Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,정의다에서왜노동자를걱정하는척,박현숙,2023-10-04T03:05:45Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"지랄하네, 정의당 아무리 인물이 좋아도 너희는 아니야",성시현,2023-09-21T12:13:39Z,1
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"헛짖거리 하지말고 현재 상황좀 인식해라.
무슨 정의당이 정의하긴 한거니?",산사람,2023-09-16T15:46:09Z,1
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,강서는 좋겠다~~~ 투표할 후보가 있어서,Jennie,2023-09-08T05:18:37Z,1
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,노동자를 위해 진심으로 눈물 흘릴 수 있는 사람이 정치해야하지 않을까요 화이팅입니다,J R,2023-09-08T00:27:09Z,3
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,응원합니다. 권투더수투더정,배용만,2023-09-07T15:48:56Z,3
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,가치도 없는 것들,달팽이뿔,2023-09-07T09:46:47Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"정의당은 좌파정당 이지요?
뭘하겠어요ᆢ",노마,2023-09-07T04:33:06Z,0
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,정의만악당 !,가림별,2023-09-07T04:07:34Z,2
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,너무 잘 봤고... 정의당 항상 화이팅입니다..!!,8760 lee,2023-09-07T03:54:11Z,2
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,야이년아~야당표분산시키지말고~심상정이시키더래도~이건아니야하고나오지말아야지~심상정이가윤석열아버버지하고친분이있어대잖아~제발정신차리고심상정이를들이박고쫒아내야지,오영진,2023-09-07T03:47:28Z,1
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,지금도 정의당이 있냐? 오래 버티네.,정병희,2023-09-07T00:29:28Z,2
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"왔다갔다 하는  정의당 없는게낮다  나라세금  아깝다. 입벌구 
잘한건 하나없다. 간자당",광현 김,2023-09-06T23:33:12Z,1
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"정의당 권수정 화이팅~
화곡동 사는데 동네 친구가 많이 않아 너무 아쉽네요 ㅠㅠ
그래도 열심히 홍보하곘습니다!",김은승,2023-09-06T15:23:12Z,5
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"정의당에 정의가 남아있기는 한가? ㅎㅎㅎㅎ
권리만 내세우며 책임은 지지않은 애들데리고 지금까지 재밌게 잘 놀았으면 이제그만 할때도 되었을텐데?
내생에 제일 잘못한 일을 하나 꼽으라면 
정의당에 후원한게 
윤석열이 대통령되는것보다 더 ... 

이정도면 대답이 되었을라나?

ㅋㅋㅋㅋㅋ 그냥 당자체가 용해인의원 발톱의 때만도 못한데 ... 진보 진보 이딴 다어 내세우지 마시길요^^ 토나올것 같으니까",Midlife Clarity,2023-09-06T15:13:57Z,2
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,"류호정 의원의 오늘(23.9.6) 대정부질의 잘 들었습니다

저의 정의당 지지 철회를 재삼 확인시켜 주시더군요.

앞으로부터 정의당은 결코 찍지 않겠습니다. 주변인 모두 설득할게요",이네스,2023-09-06T13:27:33Z,12
권수정 정의당 강서구청장 후보ㅣ월간 정의인 人:IN EP.권수정,2023-09-06T10:30:56Z,54,이 시대에서 가장 필요한 진보정치인 권수정,민중총궐기,2023-09-06T13:21:14Z,4
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,여윽시 국힘2중대 ㄷㄷ표분산 시키기위해 또 ㅈㄹ 심상정의당 또 염병떠시네요 이번에 얼마 받아쳐먹게요? 대선끝나고 국힘 후원금 쇄도했다는데 공개 좀 해봅시다 사실인가 보게 사기꾼 즈엉이당,John Kim,2023-10-01T06:09:44Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,정의따위 팔아 먹고 국짐 2중대 되어버린 정의당 너무 응원합니다 :),우히히,2023-09-30T02:59:32Z,2
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,곧 추락하겠구나. 잘가라. 그동안 더러웠다. 룬거니 2중대. 카악~툇,홍성덕,2023-09-29T22:41:31Z,2
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,ㅋㅋㅋ 비행소녀,Hc P,2023-09-29T08:29:24Z,2
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,국짐에 기생하는 기생충당 바로 evil & injustice party입니다. 대한민국의 민주주의의 후퇴와 사회불안을 지향하며 당 최고의 목표로 삼고 있습니다. 참고로 특기는 페미니즘으로 국민 갈라치기입니다. 앞으로 많은 비난 부탁드립니다.,꿈이있는자유,2023-09-29T05:55:38Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,국민의힘 2중대 정의당 힘내요,추추공,2023-09-29T04:40:03Z,3
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,매국노 2중대 아니시던가,Capella,2023-09-28T15:18:57Z,4
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비행기,2023-09-28T07:23:11Z,17,결선투표제가 없는 상황에서 변수 만들지 마쇼~~,하하호호,2023-09-28T15:12:19Z,3
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,눈과 귀가 있으면 보십시요~ 이번 총선에서 극우정당인 정의당은 없어지고 기본소득당이 일하면서 서민의 목소리를 대변하는 정당이 될것입니다. 이제 그만 내려놓으세요. 앞과 뒤가 다른 정의당의 모습이 혐오스럽네요.,성실과 노력,2023-10-06T00:39:20Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,당신이 나오는 건 돈지랄 아니고?,매퀸스티브,2023-10-04T15:52:10Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,생각이 있다면 의식이 있다면 나올 수가 없거늘...발악이 짠하다.,매퀸스티브,2023-10-04T15:51:22Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,비호감 총출동이냐? 심상정 이정미?보고 누가 정의없당 찍겠냐,블루블루,2023-10-01T07:45:08Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,정신먼저 차려라 정신당아,지훈,2023-10-01T07:16:15Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,여윽시 국힘2중대 ㄷㄷ표분산 시키기위해 또 ㅈㄹ 심상정의당 또 염병떠시네요 이번에 얼마 받아쳐먹게요? 대선끝나고 국힘 후원금 쇄도했다는데 공개 좀 해봅시다 사실인가 보게 사기꾼 즈엉이당,John Kim,2023-10-01T06:09:09Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,정의따위 팔아 먹고 국짐 2중대 되어버린 정의당 너무 응원합니다 :),우히히,2023-09-30T02:59:18Z,3
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,왜 나옴 한국을 떠나라 무정의당,Bklyn,2023-09-29T20:53:37Z,3
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,어차피 안 될건데 왜 나와,YS Oh,2023-09-29T16:36:38Z,4
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,"미안해하지 않아도 되요..이젠..
사라져라...",jacob CHOI,2023-09-29T13:21:01Z,4
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,낄때 끼워라 아직도 정의당이 있는지 몰랐다,신현재,2023-09-29T13:08:48Z,5
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,정의당은 끝났다 쪽팔리고 싶지않으면 그만해,나나,2023-09-29T11:55:22Z,5
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,관심 읍따 점의당,남일반국민,2023-09-29T11:54:16Z,4
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,"진보 이념을 추구하고 약자를 대변하던 정의당은 안타깝지만 노회찬의원이 돌아가시고 무너졌습니다. 이제는 국짐에 붙어서 기생하는 'parasite party'가 되어버렸죠. 극과 극은 통한다는 실예가 정의당이 되겠네요. 국민의 삶보다는 의석수 챙기기에 바쁘고 노동자의 권익보다는 극단적인 여성주의자의 기득권 지켜주기에 골몰하는 것 마치 국짐이 대기업과 언론사 사측 대변하는 것과 데칼코마니입니다. 동의하면 좋아요 부탁드립니다^^ 

앞으로 기본소득당이 사회적 약자와 소수자를 대변하고 사회정의를 실천하는 진정한 진보당이 될거라고 확신합니다. 
기본소득당 상임대표 용혜인의원 파이팅!!!!!!",꿈이있는자유,2023-09-29T05:49:27Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,저번엔 국짐당 대선 도와주더만 이번엔 강서구청장 선거 도와주러 나왔네 ;;; 도대체 당신들의 정체성은 무엇인지  진정한 진보도 아니고 .....그렇치 않아도 국회의원수가 너무 많은데  정원수나 더 늘리려하는 그야말로 밥그릇 싸움이나 하는 ...,율리시스,2023-09-29T00:09:06Z,10
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ비창,2023-09-28T07:25:42Z,8,다음 총선에서 사라질당 정의당,파도소리,2023-09-28T21:47:26Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,"정의당도 아니고 진보당도 아니다
민주당을 찍어라",YS Oh,2023-10-02T18:05:09Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,정의따위 팔아 먹고 국짐 2중대 되어버린 정의당 너무 응원합니다 :),우히히,2023-09-30T03:00:20Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,"웃어?
정의당이 지금 웃을 때냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",Theultimater7,2023-09-30T02:08:13Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,개나 갖다줘라,소나무,2023-09-30T02:02:21Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,아직도 정의당 심보자기가 고약한 심불통 선거운동 안하나 그대들보수가답,문병삼,2023-09-29T23:32:29Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,어차피 안 될 건데,YS Oh,2023-09-29T16:37:05Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,권수정후보님 파이팅 달려라 달려!!,샛별,2023-09-29T15:06:42Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,국힘당  도우미당?,임정민,2023-09-29T12:10:49Z,2
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,정의당은 없어질당 아닌가요?,박미정,2023-09-29T06:21:55Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,깃발내려라,창고tv,2023-09-29T03:55:33Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,중도층으로  정의당 지지했었는데  예전의 정의당이 아닌것 같아요.. 이번 총선은 정의당보단 진보당에 투표할래요 ㅠㅠ,아레스,2023-09-29T03:41:35Z,3
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,"표 깎아먹지 말고, 포기해라, 정의당.",Event Horizon,2023-09-28T23:59:41Z,3
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,지랄을해 아주...,오영진,2023-09-28T11:49:52Z,1
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,이재명도 못잡아넣으면서 너희당에 부결찍었던 해당행위 의원들 색출해라,국모박근혜님과,2023-09-28T10:32:27Z,0
[강서구청장 보궐선거] 정의당 권수정 로고송영상ㅣ캐논,2023-09-28T07:07:13Z,11,3시간동안 단 한명도 없네..,Luna caballero,2023-09-28T10:29:26Z,2
[강서구청장 보궐선거] 정의당 권수정 예비후보_SK broadband 서울뉴스,2023-08-28T08:43:30Z,21,후원했어요~^^♡,남원로체,2023-09-01T01:49:05Z,1
[강서구청장 보궐선거] 정의당 권수정 예비후보_SK broadband 서울뉴스,2023-08-28T08:43:30Z,21,권수정은 강서구민 서민편에 설 후보인 것 같네. 드디어 결정내렸네요,민중총궐기,2023-08-31T06:52:12Z,1
[강서구청장 보궐선거] 정의당 권수정 예비후보_SK broadband 서울뉴스,2023-08-28T08:43:30Z,21,이분이 꼭 강서구청장 됐으면 좋겠다,Yshsbxgkskw:;;,2023-08-29T06:58:21Z,2
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,돌아가신 아버지가 “ 비례는 정의당찍어라 꼭 정의당 한표줘야한다” 했는데 이제 그말씀을 들어드릴수가없어 슬프다,개소리는속으로해라98,2023-10-08T04:07:06Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,이제  보지 못 할 정당 입니다  많이 시청 하세요,Tiger crystal,2023-10-07T03:02:34Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,어둠의존재 앞에ㅋㅋㅋ인간들 보면 죽을건데  강서구 그 존재 앞에 어떻게 본다,용식 박,2023-10-06T12:34:53Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,"지난 대선에서 심상정 하는 꼬라지 보니까 국힘이랑 다를게 없더라
그동안 모든 비례는 정의당을 줬으나 이제는 그럴 일 없을거다. 적폐 정의당은 그냥 문 닫아라.
진보정당은 정의당이 아니라 기본소득당이다.",제이 프리벨룸,2023-10-06T02:51:18Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,정의당을 충성적으로 지지했었던 한 사람으로~ 지금 정의당은 국민의힘과 같은 극우로 보입니다. 말만 번지르르하고~              기억하겠습니다. 정의당이란 명판뿐만 아니라~ 정의당을 이렇게 만들어버린~ 핵심멤버들~ 정의당이 서민편에 서지 않고 극우 친일파와 연합했던 부패정당이였다는점을 우리 역사에 쓰여지도록 하나하나 기억해가겠습니다.   스스로 속죄하고 사죄하고 해체하는것만이 그 죄를 조금이나마 없애지 않을까싶습니다.    혹시라는 생각하고 있겠지요? 그래도 어느정도는 찍어주겠지~ 라고 생각하겠지요~ 보십시요.. 총선에서.. 정의당은 이제 없습니다!!,성실과 노력,2023-10-06T00:50:12Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,진보당 화이팅,렛잇비,2023-10-03T18:00:56Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,없어져 디질 정당 0순위,그것이알고섯다,2023-10-03T12:55:50Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,"참  얼땡이 없는 인간들 .  
노력 없이 살만하니 헛소리 하네..",북극세상끝까지,2023-10-03T00:00:55Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,"제발 그만..
당신들 진보 아닙니다!",파주졸부,2023-10-03T00:00:36Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,"이젠 더이상 정의당에 부채감 없습니다.
노회찬 의원님.
죄송하네요.",최현남,2023-10-02T10:16:55Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,미친홍보물 수준좀 아땋게 하세요 너네가 비례로 희안한 애 둘 올려놓을때부터 알아봤다만..‘해도해도 너무 하네 정의당 ^^;;;  망해가는거 보는게 씁쓸하기도 하다만 망할당음 빨리 망해야,박윤미,2023-10-02T07:26:51Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,서이초교사 죽었을때 민주당 지도부가 묵념한 사진을 가져다 조롱하는 포스터를 만들어? 국힘당2중대 정의당 싸패들 수준이구나 총선때 반드시 없애주마,개고기피자,2023-10-02T05:34:16Z,0
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,국짐당 이중대 한심하다. 국짐과 함께 꼭 흔적도 없이 사라지길 진심으로 빈다. 니네 어쩌다가 이렇게 됐냐?,Sun Koh,2023-09-30T23:07:59Z,5
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,ㅋㅋ소멸정당후보보구가요ㅋㅋ,김기훈,2023-09-29T03:54:53Z,2
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,용혜인   화이팅  입니다,서부장,2023-09-29T02:07:57Z,7
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,비례  없었다면   없었을텐데,서부장,2023-09-29T02:07:11Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,여기가 제2 보수정당 맞죠?,뚜라커,2023-09-29T00:14:30Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,정의당 너네 내부에서 너네 부패하고 무능하다고 하니 게시판 폐쇄했던데 정신 좀 차려라,강가에서 릴레이,2023-09-28T12:23:39Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,무능한 정의당이 또 입만 살았네,강가에서 릴레이,2023-09-28T12:22:25Z,1
"정의당 권수정, 강서구청장 출마 기자회견 ㅣ부패무능 정치 교체, 돌봄 혁명 강서를 만들겠습니다",2023-08-16T07:42:11Z,61,국힘당과 후보 단일화해…그다음 국힘당 선거유세도 좀 해주고….그럼 보기좋자나….석려리도 밀어줬는데…그까짓 구청장 정도야…누워서 떡먹기지…그렇다고 진짜 누워서 떡은 먹지마…목 막혀 죽어..사랑해~~정리당~~,Luna caballero,2023-09-28T10:34:09Z,2
"[강서구청장 보궐선거] 정의당 권수정, ""민주당, 구민 안중에도 없는 오만한 공천""_SK broadband 서울뉴스",2023-09-06T09:07:13Z,18,한때나마 정의당을 지지했는데...,강영철,2023-10-05T23:32:54Z,0
"[강서구청장 보궐선거] 정의당 권수정, ""민주당, 구민 안중에도 없는 오만한 공천""_SK broadband 서울뉴스",2023-09-06T09:07:13Z,18,"민주당 2중대  싫다더니~
국힘  2중대 멋지군요~",윤명희,2023-10-05T07:54:02Z,0
"[강서구청장 보궐선거] 정의당 권수정, ""민주당, 구민 안중에도 없는 오만한 공천""_SK broadband 서울뉴스",2023-09-06T09:07:13Z,18,사라져라 정의당,Father John. Lee hi dragon,2023-09-28T16:33:20Z,0
"[강서구청장 보궐선거] 정의당 권수정, ""민주당, 구민 안중에도 없는 오만한 공천""_SK broadband 서울뉴스",2023-09-06T09:07:13Z,18,"에휴..저것들은 그저민주당,민주당..
곧 사라질것들이..",so so,2023-09-12T18:13:32Z,1
"[강서구청장 보궐선거] 정의당 권수정, ""민주당, 구민 안중에도 없는 오만한 공천""_SK broadband 서울뉴스",2023-09-06T09:07:13Z,18,"수정아, 국힘당 김태우는 문제 없고? 정의당스럽게 놀고 있네",eunsae song,2023-09-08T13:23:33Z,1
